,A,B,C,D
9/27/2008,,,,
9/28/2008,,,,
9/29/2008,140.2,61.3,342.5,171
9/30/2008,135.8,61.3,335,165
10/1/2008,136,60.7,335,167.2
10/2/2008,146,66.7,359.2,186.2
10/3/2008,166.7,70,400,200.3
10/4/2008,,,,
10/5/2008,,,,
10/6/2008,205,80,425,248.3
10/7/2008,195,80.2,435,235
10/8/2008,217.5,86,477.5,275.8
10/9/2008,231.5,95,539.6,341.7
10/10/2008,304.2,145,600,396
10/11/2008,,,,
10/12/2008,,,,
10/13/2008,285,145,550,350.8
10/14/2008,241.7,87.9,508.3,313.3
10/15/2008,305,118.3,625,445
10/16/2008,325,118.8,712.5,472.9
10/17/2008,343.8,163.6,825,512.9
10/18/2008,,,,
10/19/2008,,,,
10/20/2008,366.7,170,851.7,508.3
10/21/2008,353.3,158.1,873.8,499.2
10/22/2008,383.3,196.9,935.4,540
10/23/2008,458.3,225,1000,576.7
10/24/2008,485,225,980,605
10/25/2008,,,,
10/26/2008,,,,
10/27/2008,450,228.3,875,542.5
10/28/2008,446.7,205,829.2,470
10/29/2008,405,177.8,792.5,386.7
10/30/2008,309.7,155,700,330
10/31/2008,300.8,152.5,687.5,315
11/1/2008,,,,
11/2/2008,,,,
11/3/2008,296.7,148.4,700,306.7
11/4/2008,274.2,125,550,280.7
11/5/2008,305,145,569.2,313.3
11/6/2008,339.2,151.3,575,334
11/7/2008,337.5,155,575,350
11/8/2008,,,,
11/9/2008,,,,
11/10/2008,354.2,154.2,715.4,360.4
11/11/2008,360.4,166.7,741.7,381.7
11/12/2008,396.7,165,792.5,435
11/13/2008,419,162.8,800,440
11/14/2008,400,162.5,753.3,422.8
11/15/2008,,,,
11/16/2008,,,,
11/17/2008,405,165,784.6,444.3
11/18/2008,435.8,175,876.7,460.4
11/19/2008,443.3,170.1,916.7,480
11/20/2008,456.7,178.3,936.7,493.3
11/21/2008,426.7,175,910,465
11/22/2008,,,,
11/23/2008,,,,
11/24/2008,424.2,170.2,891.7,440
11/25/2008,400,161.8,875,423.5
11/26/2008,422.9,160,850.8,419
11/27/2008,414.7,160,842.9,407.5
11/28/2008,408.8,165.4,833.3,402.5
11/29/2008,,,,
11/30/2008,,,,
12/1/2008,434.2,175,875.9,436.3
12/2/2008,442.6,181.7,878.4,436.2
12/3/2008,445.7,181.4,898,439.4
12/4/2008,451.9,185,913.4,483.7
12/5/2008,469,195.8,925.8,520
12/6/2008,,,,
12/7/2008,,,,
12/8/2008,454.5,195,909.2,496.3
12/9/2008,437.9,185,870,475.6
12/10/2008,428,181.2,875,478.6
12/11/2008,438.5,184.9,875,471.7
12/12/2008,450,186,875,468.4
12/13/2008,,,,
12/14/2008,,,,
12/15/2008,450,186.4,875,461.3
12/16/2008,453.1,190,875,464.8
12/17/2008,450,187.5,846.4,452.4
12/18/2008,440.1,184.4,847.6,449.4
12/19/2008,448.5,172.2,850,437.8
12/20/2008,,,,
12/21/2008,,,,
12/22/2008,447.6,171.9,790,425
12/23/2008,455,165.5,790,420
12/24/2008,450,165.2,778.2,420
12/25/2008,450,165.2,778.2,420
12/26/2008,450,165.2,778.2,420
12/27/2008,,,,
12/28/2008,,,,
12/29/2008,450,170,825,420
12/30/2008,450,171.6,825,417.5
12/31/2008,443,174.3,819,419.1
1/1/2009,443,174.3,819,419.1
1/2/2009,450,170,795,419.4
1/3/2009,,,,
1/4/2009,,,,
1/5/2009,420.6,165,791.1,405.6
1/6/2009,396.6,160,756.3,364.6
1/7/2009,366.6,149.6,754.9,349.4
1/8/2009,361.4,152.1,761,354.6
1/9/2009,365.9,155.6,751.3,357.6
1/10/2009,,,,
1/11/2009,,,,
1/12/2009,382.2,157.1,764.2,360
1/13/2009,389.3,164.2,785.2,365
1/14/2009,395,185,800,376.8
1/15/2009,410,190.6,801.7,379.1
1/16/2009,415,202.3,789.7,375.7
1/17/2009,,,,
1/18/2009,,,,
1/19/2009,415,210,790,377.5
1/20/2009,418.9,221.9,792.6,403.8
1/21/2009,418.7,226.4,810,408.3
1/22/2009,423.5,233.6,802.4,420.2
1/23/2009,445,260,820.8,451.7
1/24/2009,,,,
1/25/2009,,,,
1/26/2009,435.6,240.1,814.7,435.3
1/27/2009,418.7,227.1,800.8,422.5
1/28/2009,415,220.4,788,413.9
1/29/2009,414.9,224.1,787.5,414.6
1/30/2009,417.7,230.5,807.6,445
1/31/2009,,,,
2/1/2009,,,,
2/2/2009,426.9,245.6,818,445.6
2/3/2009,423.3,245,820,443.5
2/4/2009,425.4,248.8,820.3,450
2/5/2009,461.3,257.6,824,460.9
2/6/2009,475,275.4,826.3,478.9
2/7/2009,,,,
2/8/2009,,,,
2/9/2009,476.3,271,828.3,472
2/10/2009,518.3,273.6,862.9,496.9
2/11/2009,528.7,294,876.6,505.7
2/12/2009,541.9,320.5,916.7,532.4
2/13/2009,545.4,328.1,941.5,531.6
2/14/2009,,,,
2/15/2009,,,,
2/16/2009,551.8,340,948.2,538.5
2/17/2009,567.7,350,939.8,572.3
2/18/2009,554.1,340.8,927.9,558.4
2/19/2009,543,327.1,902.2,548.5
2/20/2009,559.5,342.4,953.4,578.5
2/21/2009,,,,
2/22/2009,,,,
2/23/2009,563.86,342.13,943.68,578.98
2/24/2009,559.6,350,977.18,601.25
2/25/2009,541.16,310.25,983.68,587.09
2/26/2009,520.71,309.07,1001.25,574.19
2/27/2009,516,293.47,1087.44,563.28
2/28/2009,,,,
3/1/2009,,,,
3/2/2009,557.28,305.69,1100,590.31
3/3/2009,548.26,303,1104.71,582.5
3/4/2009,546.96,293.31,1075,584.37
3/5/2009,579.01,305,1100,618.64
3/6/2009,601.4,304,1111.63,626.44
3/7/2009,,,,
3/8/2009,,,,
3/9/2009,600,300,1188.56,638.44
3/10/2009,565,279.57,1193.23,598.05
